,countyid,latitude,laccell,procedurestarttime,longitude,time
61,110102,39.91316240005493,412418330382,1644199813604,116.35630644617233,2022-02-07 10:10:13
62,110102,39.91082639052937,4124226590410,1644199815782,116.35503021210404,2022-02-07 10:10:15
63,110102,39.912510355281135,4124226591689,1644199821001,116.35361986417465,2022-02-07 10:10:21
64,110102,39.91268558730978,412417350404,1644199832378,116.35612452706577,2022-02-07 10:10:32
65,110102,39.91081037738757,412418330380,1644199835723,116.35524013741313,2022-02-07 10:10:35
66,110102,39.91175751486325,4124226612683,1644199958821,116.35565837053846,2022-02-07 10:12:38
67,110102,39.91081037738757,412418330380,1644201115882,116.35524013741313,2022-02-07 10:31:55
68,110102,39.91267843349719,412417350414,1644201117657,116.35616136304431,2022-02-07 10:31:57
69,110102,39.91175751486325,4124226612683,1644201796541,116.35565837053846,2022-02-07 10:43:16
70,110102,39.91268558730978,412417350404,1644201902137,116.35612452706577,2022-02-07 10:45:02
71,110102,39.91081037738757,412418330380,1644201986482,116.35524013741313,2022-02-07 10:46:26
72,110102,39.91082639052937,4124226590410,1644201988812,116.35503021210404,2022-02-07 10:46:28
73,110102,39.912668481841486,412417350424,1644201992097,116.35633326187828,2022-02-07 10:46:32
74,110102,39.91175751486325,4124226612683,1644202602199,116.35565837053846,2022-02-07 10:56:42
75,110102,39.91258933384858,412489690833,1644202613339,116.3540901916232,2022-02-07 10:56:53
76,110102,39.91262932862607,412489690827,1644203123939,116.35422414211482,2022-02-07 11:05:23
77,110102,39.91272026454238,4124226590409,1644203127280,116.35413209844971,2022-02-07 11:05:27
78,110102,39.913122599750146,412418330379,1644203164181,116.35644450890183,2022-02-07 11:06:04
79,110102,39.91175751486325,4124226612683,1644203166379,116.35565837053846,2022-02-07 11:06:06
80,110102,39.91268558730978,412417350404,1644203220757,116.35612452706577,2022-02-07 11:07:00
81,110102,39.913122599750146,412418330379,1644205983702,116.35644450890183,2022-02-07 11:53:03
82,110102,39.91175751486325,4124226612683,1644205985820,116.35565837053846,2022-02-07 11:53:05
83,110102,39.91267843349719,412417350414,1644206003837,116.35616136304431,2022-02-07 11:53:23
84,110102,39.91214547927992,412417350402,1644206236420,116.35580635840283,2022-02-07 11:57:16
85,110102,39.91175751486325,4124226612683,1644206247920,116.35565837053846,2022-02-07 11:57:27
86,110102,39.9086577265787,4124226612681,1644206270842,116.35724747973012,2022-02-07 11:57:50
87,110102,39.91214547927992,412417350402,1644206272317,116.35580635840283,2022-02-07 11:57:52
88,110102,39.91268558730978,412417350404,1644209347318,116.35612452706577,2022-02-07 12:49:07
89,110102,39.913122599750146,412418330379,1644209579023,116.35644450890183,2022-02-07 12:52:59
90,110102,39.91175751486325,4124226612683,1644209581502,116.35565837053846,2022-02-07 12:53:01
91,110102,39.91258933384858,412489690833,1644209583001,116.3540901916232,2022-02-07 12:53:03
92,110102,39.912668481841486,412417350424,1644216304132,116.35633326187828,2022-02-07 14:45:04
93,110102,39.913122599750146,412418330379,1644216456964,116.35644450890183,2022-02-07 14:47:36
94,110102,39.91175751486325,4124226612683,1644216470802,116.35565837053846,2022-02-07 14:47:50
95,110102,39.912510355281135,4124226591689,1644216497723,116.35361986417465,2022-02-07 14:48:17
96,110102,39.913122599750146,412418330379,1644216508185,116.35644450890183,2022-02-07 14:48:28
97,110102,39.91272026454238,4124226590409,1644216510201,116.35413209844971,2022-02-07 14:48:30
98,110102,39.913062584938785,412418330389,1644216543569,116.35618327558015,2022-02-07 14:49:03
99,110102,39.912510355281135,4124226591689,1644216643643,116.35361986417465,2022-02-07 14:50:43
100,110102,39.91268558730978,412417350404,1644216746745,116.35612452706577,2022-02-07 14:52:26
101,110102,39.91175751486325,4124226612683,1644216840463,116.35565837053846,2022-02-07 14:54:00
102,110102,39.91258933384858,412489690833,1644216949162,116.3540901916232,2022-02-07 14:55:49
103,110102,39.912668481841486,412417350424,1644217574573,116.35633326187828,2022-02-07 15:06:14
104,110102,39.91081037738757,412418330380,1644217584564,116.35524013741313,2022-02-07 15:06:24
105,110102,39.91175751486325,4124226612683,1644217586681,116.35565837053846,2022-02-07 15:06:26
106,110102,39.91267843349719,412417350414,1644217598478,116.35616136304431,2022-02-07 15:06:38
107,110102,39.91316240005493,412418330382,1644223135760,116.35630644617233,2022-02-07 16:38:55
108,110102,39.91082639052937,4124226590410,1644223138675,116.35503021210404,2022-02-07 16:38:58
109,110102,39.90883533524509,412418332939,1644223143581,116.36060714805208,2022-02-07 16:39:03
110,110102,39.912668481841486,412417350424,1644223160735,116.35633326187828,2022-02-07 16:39:20
111,110102,39.913122599750146,412418330379,1644227213044,116.35644450890183,2022-02-07 17:46:53
112,110102,39.91272026454238,4124226590409,1644227226672,116.35413209844971,2022-02-07 17:47:06
113,110102,39.91267843349719,412417350414,1644227236403,116.35616136304431,2022-02-07 17:47:16
114,110102,39.91175751486325,4124226612683,1644227413581,116.35565837053846,2022-02-07 17:50:13
115,110102,39.91081037738757,412418330380,1644227422862,116.35524013741313,2022-02-07 17:50:22
116,110102,39.912510355281135,4124226591689,1644227427361,116.35361986417465,2022-02-07 17:50:27
117,110102,39.912668481841486,412417350424,1644227463588,116.35633326187828,2022-02-07 17:51:03
118,110102,39.91081037738757,412418330380,1644227549982,116.35524013741313,2022-02-07 17:52:29
119,110102,39.91175751486325,4124226612683,1644227552201,116.35565837053846,2022-02-07 17:52:32
120,110102,39.91268558730978,412417350404,1644227601512,116.35612452706577,2022-02-07 17:53:21
121,110102,39.90883533524509,412418332939,1644228910938,116.36060714805208,2022-02-07 18:15:10
122,110102,39.91081037738757,412418330380,1644228913884,116.35524013741313,2022-02-07 18:15:13
