,d12,d23,d13,node2,angle,latitude,longitude,time
0,,,,,,39.969396419731396,116.40265203453612,2022-02-07 00:06:44
1,1297.806695450892,233.9295501863464,1530.9429853972276,"(39.95773003871284, 116.40172054383427)",174.8728176796117,39.95773003871284,116.40172054383427,2022-02-07 08:07:41
2,233.9295501863464,15.533963173103315,249.23723437865925,"(39.955624040288235, 116.40179754249236)",169.89015089188692,39.955624040288235,116.40179754249236,2022-02-07 08:08:55
3,15.533963173103315,399.53662159009417,414.80203493669717,"(39.955487054691446, 116.40183447433043)",169.1264007955337,39.955487054691446,116.40183447433043,2022-02-07 08:09:10
4,399.53662159009417,183.5742086807473,583.0421426084185,"(39.951889113492676, 116.40190366091063)",178.10646385269547,39.951889113492676,116.40190366091063,2022-02-07 08:09:33
5,183.5742086807473,10.906543805007678,174.21921428769357,"(39.9502360689782, 116.4018644566307)",30.049611176664396,39.9502360689782,116.4018644566307,2022-02-07 08:09:54
6,10.906543805007678,309.6751025525446,298.89216728873583,"(39.95032018197286, 116.40193037178486)",8.481530060879274,39.95032018197286,116.40193037178486,2022-02-07 08:09:58
7,309.6751025525446,296.27724711432126,551.9529484277366,"(39.94774558001998, 116.40053700526914)",131.24320454819065,39.94774558001998,116.40053700526914,2022-02-07 08:10:02
8,296.27724711432126,244.04448000051215,527.9807238813178,"(39.945350211996434, 116.4020645598183)",155.344294127035,39.945350211996434,116.4020645598183,2022-02-07 08:10:42
9,244.04448000051215,74.26833285569212,318.3007764405698,"(39.94315301798573, 116.40213867027093)",178.82191336954256,39.94315301798573,116.40213867027093,2022-02-07 08:11:15
10,74.26833285569212,329.3093116311427,403.5494745367825,"(39.94248414571058, 116.40214335755769)",178.25296530774034,39.94248414571058,116.40214335755769,2022-02-07 08:11:21
11,329.3093116311427,229.98897293871062,559.1843184935996,"(39.93952019959127, 116.40228159261896)",177.64928319736893,39.93952019959127,116.40228159261896,2022-02-07 08:11:51
12,229.98897293871062,78.10803349135581,308.03390575398254,"(39.93744887848122, 116.40226775123865)",177.3342801055363,39.93744887848122,116.40226775123865,2022-02-07 08:12:35
13,78.10803349135581,526.924925171236,605.0255307994508,"(39.936746016559695, 116.40230555661097)",179.15329326359898,39.936746016559695,116.40230555661097,2022-02-07 08:12:41
14,526.924925171236,103.48756011458369,527.9560871844005,"(39.932002051032235, 116.4024695308577)",84.93846119115398,39.932002051032235,116.4024695308577,2022-02-07 08:13:46
15,103.48756011458369,138.348769762013,241.56637774047365,"(39.932059551519224, 116.40126115124046)",174.527898713687,39.932059551519224,116.40126115124046,2022-02-07 08:14:35
16,138.348769762013,240.7214028867152,378.9867669653022,"(39.93201745725557, 116.39964355298947)",177.50333653707244,39.93201745725557,116.39964355298947,2022-02-07 08:14:56
